date,home_team,away_team,team,scorer,minute,own_goal,penalty,torneio
1959-03-21,Bolivia,Brazil,Brazil,Pelé,16,FALSE,FALSE,Copa América
1959-03-21,Bolivia,Brazil,Brazil,Paulo Valentim,18,FALSE,FALSE,Copa América
1959-03-21,Bolivia,Brazil,Brazil,Paulo Valentim,26,FALSE,FALSE,Copa América
1959-03-21,Bolivia,Brazil,Brazil,Didi,89,FALSE,FALSE,Copa América
1959-03-26,Brazil,Uruguay,Brazil,Paulo Valentim,62,FALSE,FALSE,Copa América
1959-03-26,Brazil,Uruguay,Brazil,Paulo Valentim,80,FALSE,FALSE,Copa América
1959-03-26,Brazil,Uruguay,Brazil,Paulo Valentim,89,FALSE,FALSE,Copa América
1959-03-29,Brazil,Paraguay,Brazil,Pelé,25,FALSE,FALSE,Copa América
1959-03-29,Brazil,Paraguay,Brazil,Pelé,31,FALSE,FALSE,Copa América
1959-03-29,Brazil,Paraguay,Brazil,Chinesinho,35,FALSE,FALSE,Copa América
1959-03-29,Brazil,Paraguay,Brazil,Pelé,63,FALSE,FALSE,Copa América
1959-04-04,Argentina,Brazil,Brazil,Pelé,58,FALSE,FALSE,Copa América
1959-12-05,Brazil,Paraguay,Brazil,Paulo Pisaneschi,25,FALSE,FALSE,Copa América
1959-12-05,Brazil,Paraguay,Brazil,Paulo Pisaneschi,39,FALSE,FALSE,Copa América
1959-12-05,Brazil,Paraguay,Brazil,Paulo Pisaneschi,55,FALSE,FALSE,Copa América
1959-12-19,Ecuador,Brazil,Brazil,Paulo Pisaneschi,23,FALSE,FALSE,Copa América
1959-12-19,Ecuador,Brazil,Brazil,Geraldo José da Silva,42,FALSE,FALSE,Copa América
1959-12-19,Ecuador,Brazil,Brazil,Zé de Mello,45,FALSE,FALSE,Copa América
1959-12-22,Argentina,Brazil,Brazil,Geraldo José da Silva,64,FALSE,FALSE,Copa América
1962-05-30,Brazil,Mexico,Brazil,Mário Zagallo,56,FALSE,FALSE,FIFA World Cup
1962-05-30,Brazil,Mexico,Brazil,Pelé,73,FALSE,FALSE,FIFA World Cup
1962-06-06,Brazil,Spain,Brazil,Amarildo Tavares da Silveira,72,FALSE,FALSE,FIFA World Cup
1962-06-06,Brazil,Spain,Brazil,Amarildo Tavares da Silveira,86,FALSE,FALSE,FIFA World Cup
1962-06-10,Brazil,England,Brazil,Garrincha,31,FALSE,FALSE,FIFA World Cup
1962-06-10,Brazil,England,Brazil,Vavá,53,FALSE,FALSE,FIFA World Cup
1962-06-10,Brazil,England,Brazil,Garrincha,59,FALSE,FALSE,FIFA World Cup
1962-06-13,Chile,Brazil,Brazil,Garrincha,9,FALSE,FALSE,FIFA World Cup
1962-06-13,Chile,Brazil,Brazil,Garrincha,32,FALSE,FALSE,FIFA World Cup
1962-06-13,Chile,Brazil,Brazil,Vavá,47,FALSE,FALSE,FIFA World Cup
1962-06-13,Chile,Brazil,Brazil,Vavá,78,FALSE,FALSE,FIFA World Cup
1962-06-17,Brazil,Czechoslovakia,Brazil,Amarildo Tavares da Silveira,17,FALSE,FALSE,FIFA World Cup
1962-06-17,Brazil,Czechoslovakia,Brazil,Zito,69,FALSE,FALSE,FIFA World Cup
1962-06-17,Brazil,Czechoslovakia,Brazil,Vavá,78,FALSE,FALSE,FIFA World Cup
1963-03-10,Brazil,Peru,Brazil,Flávio Minuano,16,FALSE,FALSE,Copa América
1963-03-14,Brazil,Colombia,Brazil,Flávio Minuano,7,FALSE,FALSE,Copa América
1963-03-14,Brazil,Colombia,Brazil,Marco Antônio García Alves,31,FALSE,FALSE,Copa América
1963-03-14,Brazil,Colombia,Brazil,Oswaldo Taurisano,56,FALSE,FALSE,Copa América
1963-03-14,Brazil,Colombia,Brazil,Flávio Minuano,82,FALSE,FALSE,Copa América
1963-03-14,Brazil,Colombia,Brazil,Fernando Consul,83,FALSE,FALSE,Copa América
1963-03-27,Brazil,Ecuador,Brazil,Oswaldo Taurisano,5,FALSE,FALSE,Copa América
1963-03-27,Brazil,Ecuador,Brazil,Oswaldo Taurisano,60,FALSE,FALSE,Copa América
1963-03-31,Bolivia,Brazil,Brazil,Marco Antônio García Alves,26,FALSE,FALSE,Copa América
1963-03-31,Bolivia,Brazil,Brazil,Almir Da Silva,28,FALSE,FALSE,Copa América
1963-03-31,Bolivia,Brazil,Brazil,Flávio Minuano,63,FALSE,FALSE,Copa América
1963-03-31,Bolivia,Brazil,Brazil,Flávio Minuano,66,FALSE,FALSE,Copa América
1966-07-12,Brazil,Bulgaria,Brazil,Pelé,15,FALSE,FALSE,FIFA World Cup
1966-07-12,Brazil,Bulgaria,Brazil,Garrincha,63,FALSE,FALSE,FIFA World Cup
1966-07-15,Brazil,Hungary,Brazil,Tostão,14,FALSE,FALSE,FIFA World Cup
1966-07-19,Brazil,Portugal,Brazil,Rildo da Costa Menezes,73,FALSE,FALSE,FIFA World Cup
1969-08-06,Colombia,Brazil,Brazil,Tostão,37,FALSE,FALSE,FIFA World Cup qualification
1969-08-06,Colombia,Brazil,Brazil,Tostão,44,FALSE,FALSE,FIFA World Cup qualification
1969-08-10,Venezuela,Brazil,Brazil,Tostão,60,FALSE,FALSE,FIFA World Cup qualification
1969-08-10,Venezuela,Brazil,Brazil,Pelé,71,FALSE,FALSE,FIFA World Cup qualification
1969-08-10,Venezuela,Brazil,Brazil,Tostão,72,FALSE,FALSE,FIFA World Cup qualification
1969-08-10,Venezuela,Brazil,Brazil,Tostão,74,FALSE,FALSE,FIFA World Cup qualification
1969-08-10,Venezuela,Brazil,Brazil,Pelé,75,FALSE,FALSE,FIFA World Cup qualification
1969-08-17,Paraguay,Brazil,Brazil,Valentín Mendoza,70,TRUE,FALSE,FIFA World Cup qualification
1969-08-17,Paraguay,Brazil,Brazil,Jairzinho,81,FALSE,FALSE,FIFA World Cup qualification
1969-08-17,Paraguay,Brazil,Brazil,Eduardo Antunes Coimbra,90,FALSE,FALSE,FIFA World Cup qualification
1969-08-21,Brazil,Colombia,Brazil,Tostão,15,FALSE,FALSE,FIFA World Cup qualification
1969-08-21,Brazil,Colombia,Brazil,Tostão,40,FALSE,FALSE,FIFA World Cup qualification
1969-08-21,Brazil,Colombia,Brazil,Eduardo Antunes Coimbra,48,FALSE,FALSE,FIFA World Cup qualification
1969-08-21,Brazil,Colombia,Brazil,Pelé,60,FALSE,FALSE,FIFA World Cup qualification
1969-08-21,Brazil,Colombia,Brazil,Rivellino,86,FALSE,FALSE,FIFA World Cup qualification
1969-08-21,Brazil,Colombia,Brazil,Jairzinho,88,FALSE,FALSE,FIFA World Cup qualification
1969-08-24,Brazil,Venezuela,Brazil,Tostão,3,FALSE,FALSE,FIFA World Cup qualification
1969-08-24,Brazil,Venezuela,Brazil,Tostão,22,FALSE,FALSE,FIFA World Cup qualification
1969-08-24,Brazil,Venezuela,Brazil,Tostão,24,FALSE,FALSE,FIFA World Cup qualification
1969-08-24,Brazil,Venezuela,Brazil,Jairzinho,30,FALSE,FALSE,FIFA World Cup qualification
1969-08-24,Brazil,Venezuela,Brazil,Pelé,45,FALSE,FALSE,FIFA World Cup qualification
1969-08-24,Brazil,Venezuela,Brazil,Pelé,69,FALSE,FALSE,FIFA World Cup qualification
1969-08-31,Brazil,Paraguay,Brazil,Pelé,68,FALSE,FALSE,FIFA World Cup qualification
1970-06-03,Brazil,Czechoslovakia,Brazil,Rivellino,24,FALSE,FALSE,FIFA World Cup
1970-06-03,Brazil,Czechoslovakia,Brazil,Pelé,59,FALSE,FALSE,FIFA World Cup
